HGNC ID	Approved symbol	Approved name	Status	Locus type	Previous symbols	Alias symbols	Chromosome	NCBI Gene ID	Ensembl gene ID	Vega gene ID	Group ID	Group name
HGNC:5487	IGHD1OR15-1A	immunoglobulin heavy diversity 1/OR15-1A (non-functional)	Approved	immunoglobulin gene		IGHD1/OR15-1A, IGHD1OR151A	15q11.2	28335	ENSG00000271336	OTTHUMG00000184580	350	Immunoglobulin heavy (IGH) orphons
HGNC:5488	IGHD1OR15-1B	immunoglobulin heavy diversity 1/OR15-1B (non-functional)	Approved	immunoglobulin gene		IGHD1/OR15-1B, IGHD1OR151B	15q11.2	28334	ENSG00000270185	OTTHUMG00000184585	350	Immunoglobulin heavy (IGH) orphons
HGNC:5493	IGHD2OR15-2A	immunoglobulin heavy diversity 2/OR15-2A (non-functional)	Approved	immunoglobulin gene		IGHD2/OR15-2A, IGHD2OR152A	15q11.2	28333	ENSG00000282599	OTTHUMG00000184594	350	Immunoglobulin heavy (IGH) orphons
HGNC:5494	IGHD2OR15-2B	immunoglobulin heavy diversity 2/OR15-2B (non-functional)	Approved	immunoglobulin gene		IGHD2/OR15-2B, IGHD2OR152B	15q11.2	28332	ENSG00000282268	OTTHUMG00000184595	350	Immunoglobulin heavy (IGH) orphons
HGNC:5500	IGHD3OR15-3A	immunoglobulin heavy diversity 3/OR15-3A (non-functional)	Approved	immunoglobulin gene		IGHD3/OR15-3A, IGHD3OR153A	15q11.2	28331	ENSG00000282520	OTTHUMG00000184598	350	Immunoglobulin heavy (IGH) orphons
HGNC:5501	IGHD3OR15-3B	immunoglobulin heavy diversity 3/OR15-3B (non-functional)	Approved	immunoglobulin gene		IGHD3/OR15-3B, IGHD3OR153B	15q11.2	28330	ENSG00000282089	OTTHUMG00000184596	350	Immunoglobulin heavy (IGH) orphons
HGNC:5506	IGHD4OR15-4A	immunoglobulin heavy diversity 4/OR15-4A (non-functional)	Approved	immunoglobulin gene		IGHD4/OR15-4A, IGHD4OR154A	15q11.2	28329	ENSG00000271317	OTTHUMG00000184621	350	Immunoglobulin heavy (IGH) orphons
HGNC:5507	IGHD4OR15-4B	immunoglobulin heavy diversity 4/OR15-4B (non-functional)	Approved	immunoglobulin gene		IGHD4/OR15-4B, IGHD4OR154B	15q11.2	28328	ENSG00000270451	OTTHUMG00000184611	350	Immunoglobulin heavy (IGH) orphons
HGNC:5512	IGHD5OR15-5A	immunoglobulin heavy diversity 5/OR15-5A (non-functional)	Approved	immunoglobulin gene		IGHD5/OR15-5A, IGHD5OR155A	15q11.2	28327	ENSG00000270961	OTTHUMG00000184622	350	Immunoglobulin heavy (IGH) orphons
HGNC:5513	IGHD5OR15-5B	immunoglobulin heavy diversity 5/OR15-5B (non-functional)	Approved	immunoglobulin gene		IGHD5/OR15-5B, IGHD5OR155B	15q11.2	28326	ENSG00000270824	OTTHUMG00000184624	350	Immunoglobulin heavy (IGH) orphons
HGNC:5524	IGHEP2	immunoglobulin heavy constant epsilon P2 (pseudogene)	Approved	immunoglobulin pseudogene			9p24.1	3499	ENSG00000254017	OTTHUMG00000019482	350	Immunoglobulin heavy (IGH) orphons
HGNC:5563	IGHV1OR15-1	immunoglobulin heavy variable 1/OR15-1 (non-functional)	Approved	immunoglobulin gene		IGHV1/OR15-1	15q11.2	388077	ENSG00000270505	OTTHUMG00000184670	350	Immunoglobulin heavy (IGH) orphons
HGNC:5564	IGHV1OR15-2	immunoglobulin heavy variable 1/OR15-2 (pseudogene)	Approved	immunoglobulin pseudogene		IGHV1/OR15-2	15q11.1	100287128	ENSG00000259337	OTTHUMG00000176334	350	Immunoglobulin heavy (IGH) orphons
HGNC:5565	IGHV1OR15-3	immunoglobulin heavy variable 1/OR15-3 (pseudogene)	Approved	immunoglobulin pseudogene		IGHV1/OR15-3	15q11.2	646370	ENSG00000271288	OTTHUMG00000184673	350	Immunoglobulin heavy (IGH) orphons
HGNC:5566	IGHV1OR15-4	immunoglobulin heavy variable 1/OR15-4 (pseudogene)	Approved	immunoglobulin pseudogene		IGHV1/OR15-4	15q11.2	646379	ENSG00000270356	OTTHUMG00000176336	350	Immunoglobulin heavy (IGH) orphons
HGNC:5567	IGHV1OR15-5	immunoglobulin heavy variable 1/OR15-5 (non-functional)	Approved	immunoglobulin gene		IGHV1/OR15-5	15q11.2 not on reference assembly	100384884			350	Immunoglobulin heavy (IGH) orphons
HGNC:5568	IGHV1OR15-6	immunoglobulin heavy variable 1/OR15-6 (pseudogene)	Approved	immunoglobulin pseudogene		IGHV1/OR15-6	15q11.2	28320	ENSG00000270685	OTTHUMG00000184707	350	Immunoglobulin heavy (IGH) orphons
HGNC:5569	IGHV1OR15-9	immunoglobulin heavy variable 1/OR15-9 (non-functional)	Approved	immunoglobulin gene	VSIG7	IGHV1/OR15-9, IGHV1OR159	15q11.1	390531	ENSG00000188403	OTTHUMG00000171652	350	Immunoglobulin heavy (IGH) orphons
HGNC:5570	IGHV1OR16-1	immunoglobulin heavy variable 1/OR16-1 (pseudogene)	Approved	immunoglobulin pseudogene		IGHV1/OR16-1	16p11.2	28315	ENSG00000261704	OTTHUMG00000176645	350	Immunoglobulin heavy (IGH) orphons
HGNC:5571	IGHV1OR16-2	immunoglobulin heavy variable 1/OR16-2 (pseudogene)	Approved	immunoglobulin pseudogene		IGHV1/OR16-2	16p11.2	28314	ENSG00000259852	OTTHUMG00000176445	350	Immunoglobulin heavy (IGH) orphons
HGNC:5572	IGHV1OR16-3	immunoglobulin heavy variable 1/OR16-3 (pseudogene)	Approved	immunoglobulin pseudogene		IGHV1/OR16-3	16p11.2	28313	ENSG00000260048	OTTHUMG00000176557	350	Immunoglobulin heavy (IGH) orphons
HGNC:5573	IGHV1OR16-4	immunoglobulin heavy variable 1/OR16-4 (pseudogene)	Approved	immunoglobulin pseudogene		IGHV1/OR16-4	16p11.2	28312	ENSG00000259997	OTTHUMG00000176448	350	Immunoglobulin heavy (IGH) orphons
HGNC:38040	IGHV1OR21-1	immunoglobulin heavy variable 1/OR21-1 (non-functional)	Approved	immunoglobulin gene		IGHV1/OR21-1	21p11.2	390530	ENSG00000277282	OTTHUMG00000188295	350	Immunoglobulin heavy (IGH) orphons
HGNC:5579	IGHV2OR16-5	immunoglobulin heavy variable 2/OR16-5 (non-functional)	Approved	immunoglobulin gene		IGHV2/OR16-5	16p11.2	100129631	ENSG00000259303	OTTHUMG00000152881	350	Immunoglobulin heavy (IGH) orphons
