HGNC ID	Approved symbol	Approved name	Status	Locus type	Previous symbols	Alias symbols	Chromosome	NCBI Gene ID	Ensembl gene ID	Vega gene ID	Group ID	Group name
HGNC:12027	TRA	T cell receptor alpha locus	Approved	gene with protein product	TCRA, TRA@		14q11.2	6955			371	T cell receptor alpha locus at 14q11.2
HGNC:12146	TRAV8-1	T cell receptor alpha variable 8-1	Approved	T cell receptor gene			14q11.2	28685	ENSG00000211782	OTTHUMG00000168986	371	T cell receptor alpha locus at 14q11.2
HGNC:12076	TRAJ45	T cell receptor alpha joining 45	Approved	T cell receptor gene			14q11.2	28710	ENSG00000211844	OTTHUMG00000170922	371	T cell receptor alpha locus at 14q11.2
HGNC:12077	TRAJ46	T cell receptor alpha joining 46	Approved	T cell receptor gene			14q11.2	28709	ENSG00000211843	OTTHUMG00000170921	371	T cell receptor alpha locus at 14q11.2
HGNC:12078	TRAJ47	T cell receptor alpha joining 47	Approved	T cell receptor gene			14q11.2	28708	ENSG00000211842	OTTHUMG00000170920	371	T cell receptor alpha locus at 14q11.2
HGNC:12079	TRAJ48	T cell receptor alpha joining 48	Approved	T cell receptor gene			14q11.2	28707	ENSG00000211841	OTTHUMG00000170919	371	T cell receptor alpha locus at 14q11.2
HGNC:12080	TRAJ49	T cell receptor alpha joining 49	Approved	T cell receptor gene			14q11.2	28706	ENSG00000211840	OTTHUMG00000170918	371	T cell receptor alpha locus at 14q11.2
HGNC:12082	TRAJ50	T cell receptor alpha joining 50	Approved	T cell receptor gene			14q11.2	28705	ENSG00000211839	OTTHUMG00000170917	371	T cell receptor alpha locus at 14q11.2
HGNC:12083	TRAJ51	T cell receptor alpha joining 51 (pseudogene)	Approved	T cell receptor pseudogene			14q11.2	28704	ENSG00000248366	OTTHUMG00000170916	371	T cell receptor alpha locus at 14q11.2
HGNC:12084	TRAJ52	T cell receptor alpha joining 52	Approved	T cell receptor gene			14q11.2	28703	ENSG00000211838	OTTHUMG00000170915	371	T cell receptor alpha locus at 14q11.2
HGNC:12085	TRAJ53	T cell receptor alpha joining 53	Approved	T cell receptor gene			14q11.2	28702	ENSG00000211837	OTTHUMG00000170914	371	T cell receptor alpha locus at 14q11.2
HGNC:12086	TRAJ54	T cell receptor alpha joining 54	Approved	T cell receptor gene			14q11.2	28701	ENSG00000211836	OTTHUMG00000170913	371	T cell receptor alpha locus at 14q11.2
HGNC:12147	TRAV8-2	T cell receptor alpha variable 8-2	Approved	T cell receptor gene			14q11.2	28684	ENSG00000211786	OTTHUMG00000168991	371	T cell receptor alpha locus at 14q11.2
HGNC:12087	TRAJ55	T cell receptor alpha joining 55 (pseudogene)	Approved	T cell receptor pseudogene			14q11.2	28700	ENSG00000250688	OTTHUMG00000170912	371	T cell receptor alpha locus at 14q11.2
HGNC:12088	TRAJ56	T cell receptor alpha joining 56	Approved	T cell receptor gene			14q11.2	28699	ENSG00000211835	OTTHUMG00000170911	371	T cell receptor alpha locus at 14q11.2
HGNC:12089	TRAJ57	T cell receptor alpha joining 57	Approved	T cell receptor gene			14q11.2	28698	ENSG00000211834	OTTHUMG00000170910	371	T cell receptor alpha locus at 14q11.2
HGNC:12090	TRAJ58	T cell receptor alpha joining 58 (non-functional)	Approved	T cell receptor gene			14q11.2	28697	ENSG00000211833	OTTHUMG00000170909	371	T cell receptor alpha locus at 14q11.2
HGNC:12091	TRAJ59	T cell receptor alpha joining 59 (non-functional)	Approved	T cell receptor gene			14q11.2	28696	ENSG00000211832	OTTHUMG00000170908	371	T cell receptor alpha locus at 14q11.2
HGNC:12093	TRAJ60	T cell receptor alpha joining 60 (pseudogene)	Approved	T cell receptor pseudogene			14q11.2	28695	ENSG00000249446	OTTHUMG00000170907	371	T cell receptor alpha locus at 14q11.2
HGNC:12094	TRAJ61	T cell receptor alpha joining 61 (non-functional)	Approved	T cell receptor gene			14q11.2	28694	ENSG00000211831	OTTHUMG00000170906	371	T cell receptor alpha locus at 14q11.2
HGNC:12029	TRAC	T cell receptor alpha constant	Approved	T cell receptor gene			14q11.2	28755	ENSG00000277734	OTTHUMG00000028683	371	T cell receptor alpha locus at 14q11.2
HGNC:12148	TRAV8-3	T cell receptor alpha variable 8-3	Approved	T cell receptor gene			14q11.2	28683	ENSG00000211787	OTTHUMG00000168992	371	T cell receptor alpha locus at 14q11.2
HGNC:12149	TRAV8-4	T cell receptor alpha variable 8-4	Approved	T cell receptor gene			14q11.2	28682	ENSG00000211790	OTTHUMG00000168995	371	T cell receptor alpha locus at 14q11.2
HGNC:12150	TRAV8-5	T cell receptor alpha variable 8-5 (pseudogene)	Approved	T cell receptor pseudogene		TRAV85, TCRAV8S5	14q11.2	28681	ENSG00000256379	OTTHUMG00000168996	371	T cell receptor alpha locus at 14q11.2
HGNC:12151	TRAV8-6	T cell receptor alpha variable 8-6	Approved	T cell receptor gene			14q11.2	28680	ENSG00000211795	OTTHUMG00000170641	371	T cell receptor alpha locus at 14q11.2
HGNC:12152	TRAV8-7	T cell receptor alpha variable 8-7 (non-functional)	Approved	T cell receptor gene			14q11.2	28679	ENSG00000211808	OTTHUMG00000170655	371	T cell receptor alpha locus at 14q11.2
HGNC:12153	TRAV9-1	T cell receptor alpha variable 9-1	Approved	T cell receptor gene			14q11.2	28678	ENSG00000211783	OTTHUMG00000168987	371	T cell receptor alpha locus at 14q11.2
HGNC:12154	TRAV9-2	T cell receptor alpha variable 9-2	Approved	T cell receptor gene			14q11.2	28677	ENSG00000211793	OTTHUMG00000170637	371	T cell receptor alpha locus at 14q11.2
HGNC:12103	TRAV10	T cell receptor alpha variable 10	Approved	T cell receptor gene		TCRAV10S1, TCRAV24S1	14q11.2	28676	ENSG00000211784	OTTHUMG00000168988	371	T cell receptor alpha locus at 14q11.2
HGNC:12101	TRAV1-1	T cell receptor alpha variable 1-1	Approved	T cell receptor gene		TRAV11, TCRAV1S1, TCRAV7S1	14q11.2	28693	ENSG00000255569	OTTHUMG00000168977	371	T cell receptor alpha locus at 14q11.2
HGNC:12104	TRAV11	T cell receptor alpha variable 11 (pseudogene)	Approved	T cell receptor pseudogene			14q11.2	28675	ENSG00000256474	OTTHUMG00000168989	371	T cell receptor alpha locus at 14q11.2
HGNC:12105	TRAV12-1	T cell receptor alpha variable 12-1	Approved	T cell receptor gene			14q11.2	28674	ENSG00000211785	OTTHUMG00000168990	371	T cell receptor alpha locus at 14q11.2
HGNC:12106	TRAV12-2	T cell receptor alpha variable 12-2	Approved	T cell receptor gene			14q11.2	28673	ENSG00000211789	OTTHUMG00000168994	371	T cell receptor alpha locus at 14q11.2
